Site Name ,SANT-ANGELO-2M
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,13341


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

298,14/09/2023 , 12:30:00,7833,457.59
299,14/09/2023 , 12:45:00,7125,416.23
300,14/09/2023 , 13:00:00,4717,275.56
301,14/09/2023 , 13:15:00,8213,479.79
302,14/09/2023 , 13:30:00,7583,442.98
303,14/09/2023 , 13:45:00,4470,261.13
304,14/09/2023 , 14:00:00,3535,206.51
305,14/09/2023 , 14:15:00,3379,197.39
306,14/09/2023 , 14:30:00,3019,176.36
307,14/09/2023 , 14:45:00,3150,184.02
308,14/09/2023 , 15:00:00,3750,219.07
309,14/09/2023 , 15:15:00,4423,258.38
310,14/09/2023 , 15:30:00,7668,447.95
311,14/09/2023 , 15:45:00,6853,400.34
312,14/09/2023 , 16:00:00,7446,434.98
313,14/09/2023 , 16:15:00,6562,383.34
314,14/09/2023 , 16:30:00,4802,280.52
315,14/09/2023 , 16:45:00,3834,223.97
316,14/09/2023 , 17:00:00,6181,361.08
317,14/09/2023 , 17:15:00,4393,256.63
318,14/09/2023 , 17:30:00,3409,199.15
319,14/09/2023 , 17:45:00,2904,169.65
320,14/09/2023 , 18:00:00,1886,110.18
321,14/09/2023 , 18:15:00,2095,122.39
322,14/09/2023 , 18:30:00,1119,65.37
323,14/09/2023 , 18:45:00,503,29.38
324,14/09/2023 , 19:00:00,229,13.38
325,14/09/2023 , 19:15:00,68,3.97
326,14/09/2023 , 19:30:00,11,0.64
327,14/09/2023 , 19:45:00,0,0
328,14/09/2023 , 20:00:00,0,0
329,14/09/2023 , 20:15:00,0,0
330,14/09/2023 , 20:30:00,0,0
331,14/09/2023 , 20:45:00,0,0
332,14/09/2023 , 21:00:00,0,0
333,14/09/2023 , 21:15:00,0,0
334,14/09/2023 , 21:30:00,0,0
335,14/09/2023 , 21:45:00,0,0
336,14/09/2023 , 22:00:00,0,0
337,14/09/2023 , 22:15:00,0,0
338,14/09/2023 , 22:30:00,0,0
339,14/09/2023 , 22:45:00,0,0
340,14/09/2023 , 23:00:00,0,0
341,14/09/2023 , 23:15:00,0,0
342,14/09/2023 , 23:30:00,0,0
343,14/09/2023 , 23:45:00,0,0
344,14/09/2023 , 24:00:00,0,0
345,15/09/2023 , 00:15:00,0,0
346,15/09/2023 , 00:30:00,0,0
347,15/09/2023 , 00:45:00,0,0
348,15/09/2023 , 01:00:00,0,0
349,15/09/2023 , 01:15:00,0,0
350,15/09/2023 , 01:30:00,0,0
351,15/09/2023 , 01:45:00,0,0
352,15/09/2023 , 02:00:00,0,0
353,15/09/2023 , 02:15:00,0,0
354,15/09/2023 , 02:30:00,0,0
355,15/09/2023 , 02:45:00,0,0
356,15/09/2023 , 03:00:00,0,0
357,15/09/2023 , 03:15:00,0,0
358,15/09/2023 , 03:30:00,0,0
359,15/09/2023 , 03:45:00,0,0
360,15/09/2023 , 04:00:00,0,0
361,15/09/2023 , 04:15:00,0,0
362,15/09/2023 , 04:30:00,0,0
363,15/09/2023 , 04:45:00,0,0
364,15/09/2023 , 05:00:00,0,0
365,15/09/2023 , 05:15:00,0,0
366,15/09/2023 , 05:30:00,0,0
367,15/09/2023 , 05:45:00,0,0
368,15/09/2023 , 06:00:00,0,0
369,15/09/2023 , 06:15:00,0,0
370,15/09/2023 , 06:30:00,0,0
371,15/09/2023 , 06:45:00,11,0.64
372,15/09/2023 , 07:00:00,75,4.38
373,15/09/2023 , 07:15:00,206,12.03
374,15/09/2023 , 07:30:00,400,23.37
375,15/09/2023 , 07:45:00,451,26.35
376,15/09/2023 , 08:00:00,415,24.24
377,15/09/2023 , 08:15:00,575,33.59
378,15/09/2023 , 08:30:00,1073,62.68
379,15/09/2023 , 08:45:00,1118,65.31
380,15/09/2023 , 09:00:00,1091,63.73
381,15/09/2023 , 09:15:00,1003,58.59
382,15/09/2023 , 09:30:00,1030,60.17
383,15/09/2023 , 09:45:00,1108,64.73
384,15/09/2023 , 10:00:00,1107,64.67
385,15/09/2023 , 10:15:00,1354,79.1
386,15/09/2023 , 10:30:00,1608,93.94
387,15/09/2023 , 10:45:00,3659,213.75
388,15/09/2023 , 11:00:00,6822,398.53
389,15/09/2023 , 11:15:00,3897,227.65
390,15/09/2023 , 11:30:00,6114,357.17
391,15/09/2023 , 11:45:00,7980,466.17
392,15/09/2023 , 12:00:00,8931,521.73
393,15/09/2023 , 12:15:00,9079,530.38
394,15/09/2023 , 12:30:00,9395,548.84
395,15/09/2023 , 12:45:00,9346,545.97
396,15/09/2023 , 13:00:00,9438,551.35
397,15/09/2023 , 13:15:00,8105,473.48
398,15/09/2023 , 13:30:00,9085,530.73
399,15/09/2023 , 13:45:00,9556,558.24
400,15/09/2023 , 14:00:00,9727,568.23
401,15/09/2023 , 14:15:00,9184,536.51
402,15/09/2023 , 14:30:00,8910,520.5
403,15/09/2023 , 14:45:00,8091,472.66
404,15/09/2023 , 15:00:00,7501,438.19
405,15/09/2023 , 15:15:00,7652,447.01
406,15/09/2023 , 15:30:00,7415,433.17
407,15/09/2023 , 15:45:00,6785,396.37
408,15/09/2023 , 16:00:00,5798,338.71
409,15/09/2023 , 16:15:00,6074,354.83
410,15/09/2023 , 16:30:00,5188,303.07
411,15/09/2023 , 16:45:00,5092,297.46
412,15/09/2023 , 17:00:00,4751,277.54
413,15/09/2023 , 17:15:00,4034,235.66
414,15/09/2023 , 17:30:00,3348,195.58
415,15/09/2023 , 17:45:00,2726,159.25
416,15/09/2023 , 18:00:00,2147,125.42
417,15/09/2023 , 18:15:00,1542,90.08
418,15/09/2023 , 18:30:00,1033,60.35
419,15/09/2023 , 18:45:00,393,22.96
420,15/09/2023 , 19:00:00,215,12.56
421,15/09/2023 , 19:15:00,73,4.26
422,15/09/2023 , 19:30:00,9,0.53
423,15/09/2023 , 19:45:00,0,0
424,15/09/2023 , 20:00:00,0,0
425,15/09/2023 , 20:15:00,0,0
426,15/09/2023 , 20:30:00,0,0
427,15/09/2023 , 20:45:00,0,0
428,15/09/2023 , 21:00:00,0,0
429,15/09/2023 , 21:15:00,0,0
430,15/09/2023 , 21:30:00,0,0
431,15/09/2023 , 21:45:00,0,0
432,15/09/2023 , 22:00:00,0,0
433,15/09/2023 , 22:15:00,0,0
434,15/09/2023 , 22:30:00,0,0
435,15/09/2023 , 22:45:00,0,0
436,15/09/2023 , 23:00:00,0,0
437,15/09/2023 , 23:15:00,0,0
438,15/09/2023 , 23:30:00,0,0
439,15/09/2023 , 23:45:00,0,0
440,15/09/2023 , 24:00:00,0,0
441,16/09/2023 , 00:15:00,0,0
442,16/09/2023 , 00:30:00,0,0
443,16/09/2023 , 00:45:00,0,0
444,16/09/2023 , 01:00:00,0,0
445,16/09/2023 , 01:15:00,0,0
446,16/09/2023 , 01:30:00,0,0
447,16/09/2023 , 01:45:00,0,0
448,16/09/2023 , 02:00:00,0,0
449,16/09/2023 , 02:15:00,0,0
450,16/09/2023 , 02:30:00,0,0
451,16/09/2023 , 02:45:00,0,0
452,16/09/2023 , 03:00:00,0,0
