Site Name ,CHIANE-AMBIENT
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,13339


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

296,20/09/2023 , 08:40:00,0,0
297,20/09/2023 , 08:45:00,0,0
298,20/09/2023 , 08:50:00,0,0
299,20/09/2023 , 08:55:00,0,0
300,20/09/2023 , 09:00:00,0,0
301,20/09/2023 , 09:05:00,0,0
302,20/09/2023 , 09:10:00,0,0
303,20/09/2023 , 09:15:00,0,0
304,20/09/2023 , 09:20:00,0,0
305,20/09/2023 , 09:25:00,0,0
306,20/09/2023 , 09:30:00,0,0
307,20/09/2023 , 09:35:00,0,0
308,20/09/2023 , 09:40:00,0,0
309,20/09/2023 , 09:45:00,0,0
310,20/09/2023 , 09:50:00,0,0
311,20/09/2023 , 09:55:00,0,0
312,20/09/2023 , 10:00:00,0,0
313,20/09/2023 , 10:05:00,0,0
314,20/09/2023 , 10:10:00,0,0
315,20/09/2023 , 10:15:00,0,0
316,20/09/2023 , 10:20:00,0,0
317,20/09/2023 , 10:25:00,0,0
318,20/09/2023 , 10:30:00,0,0
319,20/09/2023 , 10:35:00,0,0
320,20/09/2023 , 10:40:00,0,0
321,20/09/2023 , 10:45:00,0,0
322,20/09/2023 , 10:50:00,0,0
323,20/09/2023 , 10:55:00,0,0
324,20/09/2023 , 11:00:00,0,0
325,20/09/2023 , 11:05:00,0,0
326,20/09/2023 , 11:10:00,0,0
327,20/09/2023 , 11:15:00,0,0
328,20/09/2023 , 11:20:00,0,0
329,20/09/2023 , 11:25:00,0,0
330,20/09/2023 , 11:30:00,0,0
331,20/09/2023 , 11:35:00,0,0
332,20/09/2023 , 11:40:00,0,0
333,20/09/2023 , 11:45:00,0,0
334,20/09/2023 , 11:50:00,0,0
335,20/09/2023 , 11:55:00,0,0
336,20/09/2023 , 12:00:00,0,0
337,20/09/2023 , 12:05:00,0,0
338,20/09/2023 , 12:10:00,0,0
339,20/09/2023 , 12:15:00,0,0
340,20/09/2023 , 12:20:00,0,0
341,20/09/2023 , 12:25:00,0,0
342,20/09/2023 , 12:30:00,0,0
343,20/09/2023 , 12:35:00,0,0
344,20/09/2023 , 12:40:00,0,0
345,20/09/2023 , 12:45:00,0,0
346,20/09/2023 , 12:50:00,0,0
347,20/09/2023 , 12:55:00,0,0
348,20/09/2023 , 13:00:00,0,0
349,20/09/2023 , 13:05:00,0,0
350,20/09/2023 , 13:10:00,0,0
351,20/09/2023 , 13:15:00,0,0
352,20/09/2023 , 13:20:00,0,0
353,20/09/2023 , 13:25:00,0,0
354,20/09/2023 , 13:30:00,0,0
355,20/09/2023 , 13:35:00,0,0
356,20/09/2023 , 13:40:00,0,0
357,20/09/2023 , 13:45:00,0,0
358,20/09/2023 , 13:50:00,0,0
359,20/09/2023 , 13:55:00,0,0
360,20/09/2023 , 14:00:00,0,0
361,20/09/2023 , 14:05:00,0,0
362,20/09/2023 , 14:10:00,0,0
363,20/09/2023 , 14:15:00,0,0
364,20/09/2023 , 14:20:00,0,0
365,20/09/2023 , 14:25:00,5,0.4
